WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
407	1114886.362	1201262.724	1323818.174	945346.9339
408	1117397.738	1201095.257	1323862.442	959246.3713
409	1130436.534	1212594.216	1336717.275	956581.8085
410	1146329.403	1225338.047	1350544.46	971920.4488
411	1153510.768	1230145.446	1356697.278	978482.3714
412	1166005.732	1240793.521	1368780.327	981422.0307
413	1168965.419	1240850.648	1367926.827	996721.3045
414	1182239.332	1252228.396	1380226.494	1000708.704
415	1197737.343	1266949.112	1395947.365	1006675.047
416	1203612.061	1269474.258	1398841.146	1016325.54
417	1218802.623	1282924.523	1413903.725	1021260.393
418	1225615.744	1288183.558	1418801.045	1035942.302
419	1242433.344	1303074.394	1434213.475	1042133.3
420	1246656.861	1305057.289	1436895.258	1046879.838
421	1260639.785	1318222.862	1450562.698	1053195.251
422	1275068.105	1329585.959	1462430.792	1064602.979
423	1278605.647	1331423.165	1463889.998	1071070.795
424	1284132.325	1335395.089	1467626.855	1076869.087
425	1298240.66	1348621.011	1481318.352	1084624.049
426	1309356.205	1357597.882	1489971.465	1095036.184
427	1321517.33	1368569.464	1501556.651	1105395.594
428	1322434.129	1367168.121	1500712.584	1109018.987
429	1335775.958	1378670.36	1511093.003	1120971.065
430	1347733.099	1390336.028	1522505.898	1133006.211
431	1361088.178	1401902.383	1535530.794	1136489.911
432	1372794.519	1411792.491	1544461.564	1141933.534
433	1378734.354	1415710.986	1549050.67	1151344.643
434	1387122.328	1422325.351	1556185.843	1164753.326
435	1405482.263	1439705.237	1574294.653	1171001.585
436	1415381.991	1447473.761	1582063.814	1179647.654
437	1421459.12	1451983.697	1586464.994	1184425.667
438	1428545.594	1457437.59	1591741.906	1201516.725
439	1448228.967	1475396.565	1610143.201	1208234.254
440	1459529.955	1485407.072	1620437.403	1214830.796
441	1464728.526	1489820.359	1624045.3	1223246.806
442	1475489.7	1497215.883	1633130.193	1234592.674
443	1487922.305	1508616.523	1643059.474	1243755.066
444	1500325.338	1519757.902	1654665.14	1251425.393
445	1503357.3	1521097.505	1655358.676	1255457.63
446	1517666.041	1534099.732	1668926.916	1271363.708
447	1528874.898	1543836.999	1679066.085	1278340.475
448	1541376.546	1555265.995	1690745.74	1288430.983
449	1546987.55	1559017.292	1694035.937	1294748.638
450	1557428.527	1569295.166	1702160.617	1306145.822
451	1570784.66	1580432.567	1714789.67	1315092.533
452	1573054.075	1581251.193	1714463.317	1324101.657
453	1584815.946	1591992.025	1725371.809	1329037.433
454	1596521.212	1602773.331	1736202.215	1345609.13
455	1609534.299	1614228.383	1746609.595	1353384.487
456	1621164.474	1624542.463	1757392.906	1359544.664
457	1633623.305	1636244.271	1768767.453	1369461.821
458	1645181.957	1646027.488	1779461.826	1376428.985
459	1648387.948	1648189.997	1780713.666	1390309.527
460	1661354.339	1660239.335	1790710.496	1401293.587
