WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
828	5870078.063	5872736.459	5814407.905	5652119.158
829	5878962.59	5884145.218	5823937.463	5658812.596
830	5887501.622	5893677.077	5832627.613	5668806.651
831	5896716.144	5904166.445	5841652.264	5687411.28
832	5902534.282	5911352.79	5848398.789	5694903.482
833	5917401.222	5927956.724	5861796.296	5706043.704
834	5925468.461	5937570.496	5870065.86	5718523.898
835	5936215.946	5948176.494	5880912.21	5730573.915
836	5942082.273	5955170.13	5884857.487	5741137.013
837	5956774.105	5974108.224	5902479.985	5747784.903
838	5964914.562	5983434.208	5911026.239	5764927.51
839	5972583.016	5992844.168	5916453.381	5774176.871
840	5977993.654	5999106.004	5922063.041	5785411.151
841	5990480.943	6012337.716	5935002.098	5798300.321
842	6003700.872	6025753.065	5944842.02	5808729.957
843	6013650.332	6036886.53	5955055.615	5821321.587
844	6021088.12	6049200.783	5965705.305	5833851.205
845	6032151.407	6061939.534	5976823.475	5840173.083
846	6043409.421	6074045.346	5985219.824	5851952.436
847	6052041.967	6082981.706	5993677.496	5866087.811
848	6060592.169	6093602.791	6006159.237	5874305.507
849	6069901.777	6103384.583	6011399.442	5886483.013
850	6073667.119	6109455.219	6015159.518	5897294.357
851	6085864.493	6123889.105	6028175.617	5907601.771
852	6093516.586	6129676.15	6032448.776	5917685.605
853	6101173.912	6139986.924	6040125.277	5925899.042
854	6107588.303	6153193.467	6051536.333	5936424.009
855	6120505.022	6167076.365	6059012.468	5946117.299
856	6130216.044	6174148.706	6068717.48	5956348.997
857	6131979.08	6177535.501	6070230.955	5967201.529
858	6137657.113	6190486.284	6081915.924	5970818.075
859	6148810.615	6200069.533	6088322.962	5985127.439
860	6156368.389	6210613.155	6096189.972	5994945.967
861	6168791.652	6225598.541	6109856.034	6004218.784
862	6177500.548	6236616.588	6113710.18	6014216.939
863	6187262.725	6245034.356	6124115.935	6033415.177
864	6195350.586	6256630.244	6134483.451	6038595.747
865	6206457.914	6271579.107	6141448.189	6049807.721
866	6216582.378	6280097.182	6152748.781	6061551.57
867	6213219.421	6283724.454	6154015.466	6070196.91
868	6221066.509	6291695.344	6155705.142	6082575.249
869	6232423.436	6305899.501	6168177.471	6093539.373
870	6244735.974	6314960.024	6179367.371	6099654.892
871	6252340.307	6330192.696	6192337.094	6116667.286
872	6256599.483	6336905.998	6191535.534	6122147.566
873	6270934.495	6348657.139	6205285.707	6134739.71
874	6278710.935	6364810.565	6219071.36	6147783.768
875	6287328.847	6374850.526	6221943.176	6155201.588
876	6300480.674	6385404.251	6235037.831	6167989.573
877	6301115.971	6389278.501	6235881.587	6177526.923
878	6305212.753	6397893.553	6235116.546	6189098.982
879	6317126.273	6405558.631	6246931.97	6200663.221
880	6320240.261	6417924.131	6255774.415	6206312.689
881	6327737.214	6428323.193	6263988.655	6217525.605
882	6336487.659	6440626.008	6267774.244	6231694.413
883	6348303.773	6451845.315	6279885.55	6233207.837
884	6356046.69	6461647.122	6288124.49	6245989.028
885	6358980.939	6474278.811	6291461.087	6252896.725
886	6366473.453	6479510.052	6299198.84	6261422.259
887	6365876.905	6481647.246	6298919.664	6271489.822
888	6373896.958	6491406.577	6299347.422	6283196.116
889	6376341.624	6500252.233	6310218.615	6292117.466
890	6379708.262	6506399.534	6314967.876	6297783.471
891	6397574.889	6519943.042	6318603.179	6306785.173
892	6398121.714	6527116.899	6328276.445	6319213.59
893	6406762.539	6540127.918	6337541.293	6327268.98
894	6407079.829	6543653.413	6338971.392	6337351.184
895	6420391.941	6560723.191	6346086.087	6349478.067
896	6426206.784	6564730.692	6351482.628	6359739.995
897	6433478.182	6575388.407	6359664.84	6367354.587
898	6446570.537	6592282.324	6367287.779	6377674.766
899	6446181.843	6599504.072	6375740.377	6391633.637
900	6455902.241	6608187.455	6380260.856	6401365.139
